"","gtdb_f","f_spor","newgtdb_Domain","newgtdb_Phylum","newgtdb_Class","newgtdb_Order","newgtdb_Genus"
"301","2-01-FULL-59-12","FALSE","Bacteria","Elusimicrobiota","Elusimicrobia","2-01-FULL-59-12","JANLWZ01"
"303","2-01-FULL-59-12","FALSE","Bacteria","Elusimicrobiota","Elusimicrobia","2-01-FULL-59-12","JBAZWU01"
"304","2-01-FULL-59-12","FALSE","Bacteria","Elusimicrobiota","Elusimicrobia","2-01-FULL-59-12","JBBQYF01"
"305","2-01-FULL-59-12","FALSE","Bacteria","Elusimicrobiota","Elusimicrobia","2-01-FULL-59-12","JBBSDO01"
"306","2-01-FULL-66-17","FALSE","Bacteria","Nitrospirota","Nitrospiria","2-01-FULL-66-17","2-01-FULL-66-17"
"309","2-01-FULL-66-17","FALSE","Bacteria","Nitrospirota","Nitrospiria","2-01-FULL-66-17","JBFLXB01"
"310","2-02-FULL-35-15","FALSE","Bacteria","Cyanobacteriota","Vampirovibrionia","2-02-FULL-35-15","2-02-FULL-34-12"
"311","2-02-FULL-35-15","FALSE","Bacteria","Cyanobacteriota","Vampirovibrionia","2-02-FULL-35-15","2-02-FULL-35-15"
"314","2-02-FULL-35-15","FALSE","Bacteria","Cyanobacteriota","Vampirovibrionia","2-02-FULL-35-15","JACOTS01"
"315","2-02-FULL-35-15","FALSE","Bacteria","Cyanobacteriota","Vampirovibrionia","2-02-FULL-35-15","JACPSL01"
"316","2-02-FULL-35-15","FALSE","Bacteria","Cyanobacteriota","Vampirovibrionia","2-02-FULL-35-15","JACQBQ01"
"317","2-02-FULL-35-15","FALSE","Bacteria","Cyanobacteriota","Vampirovibrionia","2-02-FULL-35-15","JAGVKQ01"
"318","2-02-FULL-35-15","FALSE","Bacteria","Cyanobacteriota","Vampirovibrionia","2-02-FULL-35-15","JAHFBD01"
"320","2-02-FULL-35-15","FALSE","Bacteria","Cyanobacteriota","Vampirovibrionia","2-02-FULL-35-15","SSGW-16"
"321","2-02-FULL-39-11","FALSE","Bacteria","Patescibacteriota","Microgenomatia","2-02-FULL-39-11","01-FULL-39-12b"
"322","2-02-FULL-39-11","FALSE","Bacteria","Patescibacteriota","Microgenomatia","2-02-FULL-39-11","2-02-FULL-39-11"
"323","2-02-FULL-39-11","FALSE","Bacteria","Patescibacteriota","Microgenomatia","2-02-FULL-39-11","2-02-FULL-39-14"
"325","2-02-FULL-39-11","FALSE","Bacteria","Patescibacteriota","Microgenomatia","2-02-FULL-39-11","2-02-FULL-40-10"
"326","2-02-FULL-39-11","FALSE","Bacteria","Patescibacteriota","Microgenomatia","2-02-FULL-39-11","2-02-FULL-40-13"
"327","2-02-FULL-39-11","FALSE","Bacteria","Patescibacteriota","Microgenomatia","2-02-FULL-39-11","CG1-02-37-22"
"328","2-02-FULL-39-11","FALSE","Bacteria","Patescibacteriota","Microgenomatia","2-02-FULL-39-11","GWA2-43-14"
"330","2-02-FULL-39-11","FALSE","Bacteria","Patescibacteriota","Microgenomatia","2-02-FULL-39-11","JACPKY01"
"331","2-02-FULL-39-11","FALSE","Bacteria","Patescibacteriota","Microgenomatia","2-02-FULL-39-11","JACPZE01"
"332","2-02-FULL-39-11","FALSE","Bacteria","Patescibacteriota","Microgenomatia","2-02-FULL-39-11","JACREK01"
"333","2-02-FULL-39-11","FALSE","Bacteria","Patescibacteriota","Microgenomatia","2-02-FULL-39-11","JALHWS01"
"334","2-02-FULL-39-11","FALSE","Bacteria","Patescibacteriota","Microgenomatia","2-02-FULL-39-11","JAMCUI01"
"335","2-02-FULL-39-32","FALSE","Bacteria","Elusimicrobiota","Elusimicrobia","2-02-FULL-39-32","2-01-FULL-60-11"
"338","2-02-FULL-39-32","FALSE","Bacteria","Elusimicrobiota","Elusimicrobia","2-02-FULL-39-32","2-01-FULL-64-13"
"339","2-02-FULL-39-32","FALSE","Bacteria","Elusimicrobiota","Elusimicrobia","2-02-FULL-39-32","2-02-FULL-39-32"
"341","2-02-FULL-39-32","FALSE","Bacteria","Elusimicrobiota","Elusimicrobia","2-02-FULL-39-32","JACPSV01"
